accuracy,backbone,brier,detector_trigger_step,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
1.0,gcn,0.12101042329754311,,,0.25551539076714236,0.0,1.0,source_only,0.30839828358304994,3.700028173625469e-06,0,clean
1.0,gcn,0.09165252637684776,,,0.2123033416582293,0.0,1.0,entropy_all_nodes,0.2514460211465147,0.05694049992598593,0,clean
1.0,gcn,0.09089199409227286,,False,0.20804700525859585,0.0,1.0,full_method,0.24717001023266333,0.3308635000139475,0,clean
0.9757575757575757,gcn,0.14997509046452195,,,0.254009088286782,0.45,0.9756413339746673,source_only,0.34759842870362134,9.999959729611874e-06,0,feature_noise
0.9757575757575757,gcn,0.12485448975011716,,,0.21756007212606293,0.45,0.9758032910450978,entropy_all_nodes,0.2978130097832438,0.0521534999134019,0,feature_noise
0.9575757575757575,gcn,0.1299747207295206,,False,0.19215530439348752,0.45,0.9574202837477174,full_method,0.2998100076555618,0.33963699999731034,0,feature_noise
0.9454545454545454,gcn,0.13884488790153823,,,0.20545617466754112,0.35,0.9455419940521832,source_only,0.3212385110976657,1.810002140700817e-05,0,edge_drop
0.9515151515151515,gcn,0.11708641172561055,,,0.1687716414619477,0.35,0.9517148335583561,entropy_all_nodes,0.273707559706978,0.046773700043559074,0,edge_drop
0.9515151515151515,gcn,0.11648156379826377,,False,0.15129976998350417,0.35,0.9517148335583561,full_method,0.26994519789896876,0.3671588000142947,0,edge_drop
0.9818181818181818,gcn,0.24464070804779964,,,0.366181436026778,0.35,0.9818166790643854,source_only,0.5041223163808314,1.0100076906383038e-05,0,edge_add
0.9757575757575757,gcn,0.21818207817035853,,,0.3332103377474125,0.35,0.9758116748942438,entropy_all_nodes,0.46296112786050064,0.0458783000940457,0,edge_add
0.9696969696969697,gcn,0.21141979573255448,,False,0.31835408940334214,0.35,0.9698469544752459,full_method,0.45134169968383125,0.34455749997869134,0,edge_add
0.8424242424242424,gcn,0.3576328512588838,,,0.2871799997583325,0.25,0.8429120847729275,source_only,0.6576915852627038,9.00006853044033e-06,0,homophily_shift
0.8484848484848485,gcn,0.3438685971350586,,,0.27711161235440673,0.25,0.8492373310200246,entropy_all_nodes,0.6359912552537966,0.04548069997690618,0,homophily_shift
0.8424242424242424,gcn,0.3396186889084801,,False,0.262739573663738,0.25,0.843362753906594,full_method,0.6280241078349644,0.3518061999930069,0,homophily_shift
0.6666666666666666,gcn,0.5356120920521515,,,0.20572901877503805,0.5,0.6662569886254097,source_only,0.9114207644762249,1.0499963536858559e-05,0,homophily_shift
0.6545454545454545,gcn,0.5342434423805018,,,0.18822644335611763,0.5,0.6534955267874523,entropy_all_nodes,0.9097726304905035,0.047865299973636866,0,homophily_shift
0.6545454545454545,gcn,0.5344577777221273,,False,0.18474597498665546,0.5,0.6535674146417083,full_method,0.9102950160475428,0.3590275999158621,0,homophily_shift
0.9818181818181818,gcn,0.19674475587143178,,,0.3179999579611502,0.0,0.9818166790643854,source_only,0.43225672834470996,1.550000160932541e-05,1,clean
0.9818181818181818,gcn,0.1619934553106456,,,0.2770855764300104,0.0,0.9818166790643854,entropy_all_nodes,0.37415256417970455,0.05698540003504604,1,clean
0.9818181818181818,gcn,0.15828313391582094,,False,0.2687184308747856,0.0,0.9818166790643854,full_method,0.3649767652411848,0.3575029999483377,1,clean
0.9636363636363636,gcn,0.2204324676667848,,,0.3177478335214249,0.45,0.9635099050986901,source_only,0.46543600117835704,1.2699980288743973e-05,1,feature_noise
0.9515151515151515,gcn,0.1927462681339099,,,0.27177098939084493,0.45,0.9511237533361427,entropy_all_nodes,0.4177599406773559,0.048471600050106645,1,feature_noise
0.9454545454545454,gcn,0.19255600997951028,,False,0.2654391109806428,0.45,0.9448604492852279,full_method,0.4130681013721026,0.3609868000494316,1,feature_noise
0.9272727272727272,gcn,0.22466857464534776,,,0.2651183903497822,0.35,0.9271444604777938,source_only,0.4601810281189478,1.4200108125805855e-05,1,edge_drop
0.9272727272727272,gcn,0.19693968658834898,,,0.227785904510757,0.35,0.9271444604777938,entropy_all_nodes,0.4099739314445444,0.056857199990190566,1,edge_drop
0.9151515151515152,gcn,0.19421620404543438,,False,0.20661645062328227,0.35,0.915590689503733,full_method,0.4015998942865689,0.35678659996483475,1,edge_drop
0.9454545454545454,gcn,0.34179922657758566,,,0.40700350007997704,0.35,0.9456350997562518,source_only,0.6415319439781824,1.0399962775409222e-05,1,edge_add
0.9454545454545454,gcn,0.32320068136641034,,,0.3913038452796174,0.35,0.9456350997562518,entropy_all_nodes,0.6148002696408791,0.053878000006079674,1,edge_add
0.9454545454545454,gcn,0.31685810148524945,,False,0.3832594282911633,0.35,0.9455621034568402,full_method,0.6055155182550175,0.3318812999641523,1,edge_add
0.8424242424242424,gcn,0.40912856111716395,,,0.33522904732495906,0.25,0.8420227588825405,source_only,0.7325321522458901,1.0900082997977734e-05,1,homophily_shift
0.8303030303030303,gcn,0.3988937853332092,,,0.31213539536254725,0.25,0.8289353663199851,entropy_all_nodes,0.7174002314339605,0.052264700061641634,1,homophily_shift
0.8303030303030303,gcn,0.39233916585059586,,False,0.31880727751062965,0.25,0.8289353663199851,full_method,0.7077968465261016,0.34731109999120235,1,homophily_shift
0.6606060606060606,gcn,0.5377692318857983,,,0.21554465437417852,0.5,0.6609575066835515,source_only,0.9123642666656034,1.1200085282325745e-05,1,homophily_shift
0.6181818181818182,gcn,0.5367517206638474,,,0.16741533627536642,0.5,0.6164311315924218,entropy_all_nodes,0.9102508438235671,0.048485999926924706,1,homophily_shift
0.6181818181818182,gcn,0.5387358864148816,,False,0.16207140575245674,0.5,0.6170217299564902,full_method,0.9123332722373637,0.34986890002619475,1,homophily_shift
0.9939393939393939,gcn,0.08931953723874858,,,0.2047324860825576,0.0,0.9939388930214618,source_only,0.2502900194760181,4.539999645203352e-05,2,clean
0.9939393939393939,gcn,0.06699385906675161,,,0.16581163325620193,0.0,0.9939388930214618,entropy_all_nodes,0.2016205162641525,0.046997099998407066,2,clean
0.9939393939393939,gcn,0.06616383890955438,,False,0.16309136929909362,0.0,0.9939388930214618,full_method,0.19862666163099635,0.3347901999950409,2,clean
0.9939393939393939,gcn,0.10175879003098896,,,0.2177798852110686,0.45,0.9939388930214618,source_only,0.2710531955887437,1.3599987141788006e-05,2,feature_noise
0.9939393939393939,gcn,0.07882796401677188,,,0.17961779737803846,0.45,0.9939388930214618,entropy_all_nodes,0.22314909946038503,0.04672010010108352,2,feature_noise
0.9939393939393939,gcn,0.07709668283676144,,False,0.17589300716222692,0.45,0.9939388930214618,full_method,0.21891532914336645,0.3609786999877542,2,feature_noise
0.9757575757575757,gcn,0.09621198096139133,,,0.17641000521565753,0.35,0.9756413339746673,source_only,0.2508715275672028,1.580000389367342e-05,2,edge_drop
0.9757575757575757,gcn,0.07777600080076237,,,0.14046316766858313,0.35,0.9756413339746673,entropy_all_nodes,0.20811823708903826,0.04640250001102686,2,edge_drop
0.9757575757575757,gcn,0.07707619269542612,,False,0.13804540973055054,0.35,0.9756413339746673,full_method,0.20554404248512362,0.3211278999224305,2,edge_drop
0.9818181818181818,gcn,0.20999549012596047,,,0.33105928945233465,0.35,0.9816988216520927,source_only,0.45087139954164157,9.399955160915852e-06,2,edge_add
0.9818181818181818,gcn,0.18534787214331253,,,0.3041295982314516,0.35,0.9816988216520927,entropy_all_nodes,0.4113233567017352,0.045312799979001284,2,edge_add
0.9757575757575757,gcn,0.18082399120012563,,False,0.29066228685604595,0.35,0.9758032910450977,full_method,0.4020823303051953,0.3664411000208929,2,edge_add
0.896969696969697,gcn,0.31112079650104063,,,0.3106964866123616,0.25,0.8950808393532853,source_only,0.5911321687960299,1.1200085282325745e-05,2,homophily_shift
0.9030303030303031,gcn,0.29765447813668455,,,0.29891826026149493,0.25,0.9004694622385777,entropy_all_nodes,0.5694412866187593,0.0449755999725312,2,homophily_shift
0.9030303030303031,gcn,0.29166649411080925,,False,0.2919165175181759,0.25,0.9005973943727056,full_method,0.5600531591553082,0.32956389989703894,2,homophily_shift
0.6060606060606061,gcn,0.5345488478038776,,,0.12147879830458973,0.5,0.6009460344268415,source_only,0.9032212391684118,1.2899981811642647e-05,2,homophily_shift
0.5818181818181818,gcn,0.5392278401849651,,,0.08153410346661866,0.5,0.5650763992494332,entropy_all_nodes,0.9108078789948522,0.04294009995646775,2,homophily_shift
0.5757575757575758,gcn,0.5476942659831728,,False,0.08412029849188327,0.5,0.5586927383413324,full_method,0.9229388380239131,0.3573973000748083,2,homophily_shift
0.5575757575757576,gat,0.557531549486631,,,0.0958293574590502,0.0,0.5598207175846927,source_only,0.9403625554286965,3.700004890561104e-05,0,clean
0.5515151515151515,gat,0.5542200888121022,,,0.07893770237474494,0.0,0.5536007506450856,entropy_all_nodes,0.934958292519926,0.10938999999780208,0,clean
0.5515151515151515,gat,0.5528635310146771,,False,0.06636302420555502,0.0,0.5538662072611592,full_method,0.9329054665095021,0.6736454999772832,0,clean
0.3939393939393939,gat,0.6530716361362313,,,0.08399742147183276,0.45,0.3852339867318188,source_only,1.0836016140611635,1.8000020645558834e-05,0,feature_noise
0.3939393939393939,gat,0.6563655887063202,,,0.09650155626092884,0.45,0.3850045844794532,entropy_all_nodes,1.0890790578252705,0.11346660007257015,0,feature_noise
0.3878787878787879,gat,0.6591178832493547,,False,0.11499661887558998,0.45,0.3745610639278425,full_method,1.0929380786876983,0.6655947000253946,0,feature_noise
0.6060606060606061,gat,0.524072393426028,,,0.12571202231190326,0.35,0.6087976351134246,source_only,0.8889625175256756,1.6600009985268116e-05,0,edge_drop
0.6,gat,0.5193756617693754,,,0.1170840714013569,0.35,0.6024506466984342,entropy_all_nodes,0.8807191751740557,0.11437119997572154,0,edge_drop
0.593939393939394,gat,0.5177938677043852,,False,0.09012502923684568,0.35,0.5957227138643068,full_method,0.878150608906964,0.6418705999385566,0,edge_drop
0.4909090909090909,gat,0.6032278024084624,,,0.06354422549990657,0.35,0.4950574156408473,source_only,1.0071341206067577,1.0199961252510548e-05,0,edge_add
0.49696969696969695,gat,0.6026021315176663,,,0.06948776916758517,0.35,0.5016339869281046,entropy_all_nodes,1.0061624240843987,0.11055169999599457,0,edge_add
0.4909090909090909,gat,0.6027117977272954,,False,0.061793586259428476,0.35,0.4947185937751975,full_method,1.0065742530891075,0.6535541000775993,0,edge_add
0.41818181818181815,gat,0.6520748921930095,,,0.07746073075482524,0.25,0.4198574903361896,source_only,1.0746263088335568,8.100061677396297e-06,0,homophily_shift
0.41818181818181815,gat,0.6556760945318486,,,0.08168135914702479,0.25,0.4197979797979798,entropy_all_nodes,1.0796398123341417,0.11128379998262972,0,homophily_shift
0.41818181818181815,gat,0.657878355795088,,False,0.08460003809350143,0.25,0.4198574903361896,full_method,1.0824924704540095,0.6428309000330046,0,homophily_shift
0.38181818181818183,gat,0.6767706029300615,,,0.11012337557874215,0.5,0.3823499199371582,source_only,1.1152960025152934,8.300063200294971e-06,0,homophily_shift
0.38181818181818183,gat,0.682190169557295,,,0.1254455162373468,0.5,0.3823499199371582,entropy_all_nodes,1.1238301356524083,0.11446429998613894,0,homophily_shift
0.3939393939393939,gat,0.6852668520725381,,False,0.138716870670358,0.5,0.39413255413636145,full_method,1.1286392730922603,0.6423871000297368,0,homophily_shift
0.6060606060606061,gat,0.5150941562136907,,,0.1486376686943671,0.0,0.6039393939393939,source_only,0.8733601270884199,4.029995761811733e-05,1,clean
0.6121212121212121,gat,0.5095821533276484,,,0.15209139728671284,0.0,0.6099104480037706,entropy_all_nodes,0.8636650641911643,0.11119730002246797,1,clean
0.6121212121212121,gat,0.5084601886170703,,False,0.08841324752777051,0.0,0.6099104480037706,full_method,0.8610621347761527,0.6342362998984754,1,clean
0.45454545454545453,gat,0.6600331266199778,,,0.094947449254505,0.45,0.45762711864406774,source_only,1.0729741603511735,1.4999997802078724e-05,1,feature_noise
0.4484848484848485,gat,0.67534053316609,,,0.14083966946847729,0.45,0.4532024465128894,entropy_all_nodes,1.0921682230328305,0.11101630004122853,1,feature_noise
0.42424242424242425,gat,0.695204491320946,,False,0.1553039681681097,0.45,0.4319158721546133,full_method,1.119544495752019,0.6328184000449255,1,feature_noise
0.6363636363636364,gat,0.5035027646686699,,,0.10567485369885649,0.35,0.6341214550489606,source_only,0.8612777946127211,1.6400008462369442e-05,1,edge_drop
0.6363636363636364,gat,0.4990637567971834,,,0.11008863841652566,0.35,0.6345209696036936,entropy_all_nodes,0.8537499469700375,0.11524950002785772,1,edge_drop
0.6303030303030303,gat,0.5000800401257178,,False,0.10677662949942207,0.35,0.6265873065195056,full_method,0.8544574457599452,0.641643900074996,1,edge_drop
0.6,gat,0.5385640804326924,,,0.13011129371651667,0.35,0.5987802553840289,source_only,0.9094899856010619,7.899943739175797e-06,1,edge_add
0.6,gat,0.5338584228215937,,,0.13512565734082418,0.35,0.5987802553840289,entropy_all_nodes,0.902112398748907,0.11363110004458576,1,edge_add
0.593939393939394,gat,0.5316888440981006,,False,0.1350108977566084,0.35,0.5926243486047995,full_method,0.8988731041637631,0.6574062999570742,1,edge_add
0.5393939393939394,gat,0.5842503866831612,,,0.07442473035024597,0.25,0.5387751901513369,source_only,0.9782353794294149,6.600050255656242e-06,1,homophily_shift
0.5454545454545454,gat,0.5849545072474539,,,0.08894550267802961,0.25,0.5439160888565922,entropy_all_nodes,0.9787598292929474,0.115641999989748,1,homophily_shift
0.5272727272727272,gat,0.5866161739406348,,False,0.0773842955456999,0.25,0.5242210257713886,full_method,0.9803308747788226,0.6425464999629185,1,homophily_shift
0.3939393939393939,gat,0.6834638095622504,,,0.14256679829641267,0.5,0.39324811922736264,source_only,1.1137578899474005,9.199953638017178e-06,1,homophily_shift
0.3878787878787879,gat,0.6914689656918531,,,0.12997242490273683,0.5,0.38690878650310695,entropy_all_nodes,1.1251410168074414,0.1091152000008151,1,homophily_shift
0.38181818181818183,gat,0.6965141182401812,,False,0.14434087258783582,0.5,0.3804841424026442,full_method,1.132760474935358,0.6499045999953523,1,homophily_shift
0.6909090909090909,gat,0.4930752993983407,,,0.20378762736855233,0.0,0.6902996879141551,source_only,0.8458668569018517,5.410006269812584e-05,2,clean
0.6909090909090909,gat,0.48441400912193755,,,0.2003743615601902,0.0,0.6902996879141551,entropy_all_nodes,0.8326690226322153,0.11603309994097799,2,clean
0.6909090909090909,gat,0.4804868304480694,,False,0.21310998045635454,0.0,0.689488046184873,full_method,0.8268684690278557,0.6584971999982372,2,clean
0.6545454545454545,gat,0.5492836771774675,,,0.17133253738078624,0.45,0.6556795124195726,source_only,0.9267575612791042,5.989999044686556e-05,2,feature_noise
0.6727272727272727,gat,0.5445827455996003,,,0.2062998664375056,0.45,0.6737483284037334,entropy_all_nodes,0.9193288999758682,0.11274929996579885,2,feature_noise
0.6424242424242425,gat,0.5423766160551973,,False,0.1920735754589636,0.45,0.6436414028355186,full_method,0.9157909855557409,0.6618101999629289,2,feature_noise
0.6909090909090909,gat,0.49262362629587564,,,0.20516791638436263,0.35,0.6904293952677047,source_only,0.8431539395279302,1.6499892808496952e-05,2,edge_drop
0.6909090909090909,gat,0.48281831233573397,,,0.19070833128414288,0.35,0.6899429073342117,entropy_all_nodes,0.8286578114580421,0.1187289000954479,2,edge_drop
0.703030303030303,gat,0.47816157903304407,,False,0.19764365475832546,0.35,0.7015881647985337,full_method,0.8227990002509159,0.6398150000022724,2,edge_drop
0.6363636363636364,gat,0.5322127710039943,,,0.16318466619182995,0.35,0.6338960809549045,source_only,0.9030779491088965,5.899928510189056e-06,2,edge_add
0.6303030303030303,gat,0.5263119282087244,,,0.17710509014808454,0.35,0.6277116787308983,entropy_all_nodes,0.8943546556007238,0.11537940008565784,2,edge_add
0.6303030303030303,gat,0.5241295941424791,,False,0.1706937364358326,0.35,0.6277777777777778,full_method,0.8912087410069386,0.6349119000369683,2,edge_add
0.5696969696969697,gat,0.5629310716514005,,,0.10434956944169511,0.25,0.5677838650768073,source_only,0.9444901563166874,6.300047971308231e-06,2,homophily_shift
0.5636363636363636,gat,0.5595955340032784,,,0.12015030830124755,0.25,0.5612641112552944,entropy_all_nodes,0.9392401198153226,0.10975850000977516,2,homophily_shift
0.5696969696969697,gat,0.5576796443768156,,False,0.09158565942805193,0.25,0.5677400375642099,full_method,0.9371527858535164,0.6316129999468103,2,homophily_shift
0.4484848484848485,gat,0.6319515923465093,,,0.05729647767980312,0.5,0.448876006208206,source_only,1.0512609915217392,7.00005330145359e-06,2,homophily_shift
0.4727272727272727,gat,0.6332661745261007,,,0.07321262867337716,0.5,0.4692660856486115,entropy_all_nodes,1.0539237709154459,0.11587929993402213,2,homophily_shift
0.4909090909090909,gat,0.6338711200724613,,False,0.045129593058452475,0.5,0.48590667084246797,full_method,1.055054258058478,0.6507141999900341,2,homophily_shift
0.9333333333333333,graphsage,0.1498066958654968,,,0.12883118974186566,0.0,0.9333854287982728,source_only,0.3139628193271927,1.4199991710484028e-05,0,clean
