dataset,backbone,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
synthetic,gat,clean,0.0,source_only,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.13363675773143768,0.02054549753665924,0.0958697692801555,0.009672748918334653,0.04770335827920734,0.010466214997348174,5.099998816149309e-06,1.9999788491986692e-07,0.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,entropy_all_nodes,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.11947482079267502,0.019002698361873627,0.08478182926774025,0.013990339388449978,0.04452370136257586,0.008920825333166675,0.1288182999996934,0.07140870000148425,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,tent_entropy,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.11938291043043137,0.01898961514234543,0.0846821459631125,0.0139913760125637,0.04450479183109581,0.008909416661434404,0.12575995000224793,0.07108714999776566,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,eata_filter,2,0.9833333333333333,0.0,0.9833320310465177,0.0,0.12167712673544884,0.01967795565724373,0.0876817983885606,0.014065396537383389,0.04443876272926398,0.009197552920079163,0.7569499499986705,0.0812105499971949,25.0,0.0,0.40908333333333335,0.0014166666666666496,0.40908333333333335,0.0014166666666666496,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,graph_tta_consistency,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.1235455796122551,0.01883622258901596,0.08438638783991337,0.010673633341987926,0.04649991633795009,0.008897041205691698,0.9377063499996439,0.11229964999802178,25.0,0.0,0.4178993964447697,0.004527365002536005,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,matcha_reliable,2,0.9875,0.004166666666666707,0.9874986977131843,0.004166666666666652,0.12326567620038986,0.018963731825351715,0.0854837733010451,0.009374671429395673,0.04652665194168229,0.009004250342046334,0.7055156999995233,0.021967599997879006,25.0,0.0,0.5,0.0,0.5,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,reliable_entropy,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12206441909074783,0.018731676042079926,0.08301086674133937,0.01066337774197261,0.046012936650108,0.008774864645125151,0.8534947000007378,0.15671629999997094,25.0,0.0,0.4177544623959273,0.004686085581125321,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_neighborhood_agreement,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12298399582505226,0.018361534923315048,0.08298913066585858,0.010555167247851695,0.04702330025170903,0.008623001610156038,0.6006392999988748,0.09074770000006538,25.0,0.0,0.40960340387334904,0.0007270340702442424,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_structural_stability,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12205889821052551,0.018739953637123108,0.08301127664744853,0.010662297283609706,0.04600772331164539,0.008783401989717242,0.39844739999898593,0.035381099998630816,25.0,0.0,0.41818244625589407,0.004646774600918363,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_calibration_loss,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12204413488507271,0.018730279058218002,0.08299170434474945,0.01066343188285828,0.046006606804584294,0.008773091066323752,0.6109641499970166,0.1410049500009336,25.0,0.0,0.4177536739524606,0.004686989526764496,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,no_anti_forgetting,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12201375514268875,0.018717266619205475,0.08294591344892978,0.01065997195740541,0.04601111706940448,0.008764285292032728,0.5940320500012604,0.281966549999197,25.0,0.0,0.4177535361884074,0.004686388540219882,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,clean,0.0,full_method,2,0.9833333333333333,0.0,0.9833815655901519,4.953454363421095e-05,0.12206441909074783,0.018731676042079926,0.08301086674133937,0.01066337774197261,0.046012936650108,0.008774864645125151,0.7529059000007692,0.39142359999823384,25.0,0.0,0.4177544623959273,0.004686085581125321,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,source_only,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.1601320505142212,0.011724188923835754,0.09919478570421537,0.0006623936196168273,0.0685669021121852,0.008016746054874124,5.350004357751459e-06,6.499976734630764e-07,0.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,entropy_all_nodes,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.14783310890197754,0.010455071926116943,0.08301886605719726,0.003077183291316038,0.06640764723403245,0.006938408627146023,0.1999867999984417,0.011975800000072923,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,tent_entropy,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.1477588340640068,0.01044241338968277,0.08292875116070113,0.0030763487021128327,0.06639988288562988,0.006928310186612732,0.18987175000438583,0.0910508499982825,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,eata_filter,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.15012532472610474,0.010812327265739441,0.0868322104215622,0.006091393282016119,0.0662243415489072,0.0071333780322708935,0.7166909500010661,0.17955534999782685,25.0,0.0,0.39541666666666675,0.04024999999999998,0.39541666666666675,0.04024999999999998,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,graph_tta_consistency,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.15238305926322937,0.009428367018699646,0.08150191282232602,0.0009219686190287402,0.06890292448689334,0.006073319715077387,1.1154710999981035,0.012928000003739726,25.0,0.0,0.41368199377492565,0.0025437642981623043,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,matcha_reliable,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.15250743180513382,0.008839450776576996,0.08147464754680793,0.0007814656943082865,0.06906256259701427,0.005489007845120179,0.813824900000327,0.01893940000081784,25.0,0.0,0.5,0.0,0.5,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,reliable_entropy,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.15102791041135788,0.009367413818836212,0.08025593409935633,0.0009454071521759061,0.06846866096511997,0.006021954836381127,0.9393424000008963,0.021440399999846704,25.0,0.0,0.41365396414635336,0.002712276340321479,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,no_neighborhood_agreement,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.15191273391246796,0.009029105305671692,0.07634571380913258,0.0030565111587444807,0.069432352914342,0.005820286890549024,0.8215710500007845,0.20070475000102306,25.0,0.0,0.39786692013521174,0.003521868017273805,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,no_structural_stability,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.1510486602783203,0.009357959032058716,0.08025961890816688,0.0009425466259320656,0.06848599375602096,0.006014465861599656,0.4071921500035387,0.028105050001613563,25.0,0.0,0.41405437564715897,0.0028517124387808794,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,no_calibration_loss,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.1510104313492775,0.009366683661937714,0.08023925634721915,0.0009460308899482198,0.06846349684796202,0.006021116870022613,1.186388750000333,0.014687349997984711,25.0,0.0,0.41365363537498934,0.0027133133636028373,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,no_anti_forgetting,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.1509936824440956,0.009348057210445404,0.08019712480405967,0.0009408636639515605,0.0684785037461972,0.006007735597854724,1.18689495000217,0.0876463499989768,25.0,0.0,0.4136546234568927,0.0027110755076890647,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,feature_noise,0.35,full_method,2,0.9625,0.004166666666666652,0.962480304201,0.004073158801984611,0.15102791041135788,0.009367413818836212,0.08025593409935633,0.0009454071521759061,0.06846866096511997,0.006021954836381127,1.1260328499993193,0.23257914999703644,25.0,0.0,0.41365396414635336,0.002712276340321479,0.4000000000000001,0.0,240.0,0.0,959.5,7.5
synthetic,gat,edge_drop,0.25,source_only,2,0.9624999999999999,0.012500000000000011,0.9624311610465085,0.012670417325111982,0.16464799642562866,0.007744893431663513,0.08314377044637998,0.011617318540811536,0.07369777607169499,0.0004424280639409861,4.400000761961564e-06,6.000009307172149e-07,0.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,entropy_all_nodes,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16014216095209122,0.005086980760097504,0.07037568415204684,0.012485364824533468,0.07500689028361768,0.0025752819778333685,0.18710834999728831,0.08018695000282605,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,tent_entropy,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16012272983789444,0.005062691867351532,0.07029873927434285,0.012487056354681655,0.0750192926242628,0.0025987645615717578,0.22998530000040773,0.045071699998516124,25.0,0.0,1.0,0.0,1.0,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,eata_filter,2,0.9624999999999999,0.012500000000000011,0.9624311610465085,0.012670417325111982,0.15898487716913223,0.006291039288043976,0.07743601836264133,0.008500459666053457,0.07328896923266326,0.0014815921270387583,1.062052000001131,0.2709508999978425,25.0,0.0,0.42741666666666667,0.0015833333333333255,0.42741666666666667,0.0015833333333333255,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,graph_tta_consistency,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16156327724456787,0.006140038371086121,0.07295812691251437,0.012462625155846275,0.07532610335440619,0.0015867594850253047,1.03234385000178,0.47168505000081495,25.0,0.0,0.4129381140253523,0.0015575168561157149,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,matcha_reliable,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16059481352567673,0.004514433443546295,0.07284992846349875,0.011978425706426293,0.07470490176112135,0.0027832833038002394,0.5926172500003304,0.31874584999968647,25.0,0.0,0.5,0.0,0.5,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,reliable_entropy,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16062716394662857,0.005903355777263641,0.07175203338265418,0.012422951310873044,0.0750881701433267,0.0018267193709011129,1.0383617499974207,0.38368774999980815,25.0,0.0,0.4127988483398698,0.0015740414419916637,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,no_neighborhood_agreement,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16195985674858093,0.005984485149383545,0.07179157336552938,0.012654440104961397,0.07611356045599454,0.0017622253415890618,0.6236973999984912,0.14264370000455528,25.0,0.0,0.39718262576008767,0.000703876843012402,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,no_structural_stability,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16064835339784622,0.005905114114284515,0.07176121125618616,0.012424115339914957,0.07510203865017206,0.0018237060208900827,0.4972772000000987,0.0943883999971149,25.0,0.0,0.4133009594336404,0.0017256805367215633,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,no_calibration_loss,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.1606184020638466,0.0059024617075920105,0.07173944090803464,0.012424974888563166,0.07508658221667808,0.0018289666786260664,0.7125337500001478,0.09117635000075097,25.0,0.0,0.41279851874140894,0.0015742923235600725,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,no_anti_forgetting,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16061881929636002,0.005887769162654877,0.07169732997814814,0.01242375572522482,0.0751027168318223,0.0018419989349826998,0.832598050001252,0.009222649998264387,25.0,0.0,0.4127985584397483,0.0015693206391229064,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
synthetic,gat,edge_drop,0.25,full_method,2,0.9541666666666666,0.012500000000000011,0.9541257184549868,0.012733777063045348,0.16062716394662857,0.005903355777263641,0.07175203338265418,0.012422951310873044,0.0750881701433267,0.0018267193709011129,0.7534537000028649,0.15571389999968233,25.0,0.0,0.4127988483398698,0.0015740414419916637,0.4000000000000001,0.0,240.0,0.0,720.0,6.0
